product_name,recommended_product,score
Organic Peeled Whole Baby Carrots,Organic Peppermint Tea,0.13245323570650439
Organic Peeled Whole Baby Carrots,Tomato Sauce Classic,0.13245323570650439
Organic Peeled Whole Baby Carrots,Soft & Smooth Whole Grain White Bread,0.13245323570650439
Organic Peeled Whole Baby Carrots,Rosemary Crispbread Crackers,0.13245323570650439
Organic Peeled Whole Baby Carrots,Organic Spinach & Feta Chicken Sausage,0.13245323570650439
Organic Peeled Whole Baby Carrots,Regional Kansas City Style Barbecue Sauce,0.13245323570650439
Organic Peeled Whole Baby Carrots,Cherry Tomato Medley,0.13245323570650439
Organic Peeled Whole Baby Carrots,Organic Sunflower Butter Chocolate Macrobar,0.09365858115816939
Organic Peeled Whole Baby Carrots,Organic Italian Dressing,0.09365858115816939
Organic Peeled Whole Baby Carrots,Organic Stage 1 First Sweet Potatoes,0.09365858115816939
Organic Red On the Vine Tomato,Southwest Veggie Burger,0.2886751345948129
Organic Red On the Vine Tomato,Organic Sliced Provalone Cheese,0.2886751345948129
Organic Red On the Vine Tomato,Classic Mild Cheddar Macaroni & Cheese,0.2041241452319315
Organic Red On the Vine Tomato,Crystallized Ginger In Dark Chocolate  Bar,0.2041241452319315
Organic Red On the Vine Tomato,Large Croissants,0.2041241452319315
Organic Red On the Vine Tomato,Pizza Uncured Pepperoni Gluten Free,0.1666666666666667
Organic Red On the Vine Tomato,Soft Pretzel Burger Buns,0.11785113019775795
Organic Red On the Vine Tomato,Organic Mango Chunks,0.0912870929175277
Organic Red On the Vine Tomato,Organic Strawberry Fruit Spread,0.0912870929175277
Organic Red On the Vine Tomato,Organic Black Plum,0.08703882797784893
Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,Ginger Ale Jamaican Style,0.3162277660168379
Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,Plain Bagels,0.10540925533894599
Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,100% Raw Coconut Water,0.07559289460184544
Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,Organic Cucumber,0.052704627669472995
Artisan Sausage Pineapple Uncured Bacon Hardwood Smoked with Vermont Maple Syrup,Asparagus,0.050636968354183326
